eagerPush,lazyPushPeers,received,missing,lazyQueue,gossipTimers,totalEvents,messagesIn,messagesFailed,messagesSent,timers,notifications,requests,replies,customChannelEvents
6,0,0,0,0,0,45,0,0,0,1,9,0,0,35,
8,0,0,0,0,0,124,0,1,0,2,35,0,0,86,
8,0,0,0,0,0,134,0,1,0,3,35,0,0,95,
3,6,20,14,0,0,299,111,32,0,8,37,3,0,108,
4,5,45,34,0,0,414,198,44,0,9,39,6,0,118,
3,6,68,65,0,2,631,359,64,0,14,47,8,0,139,
2,7,80,81,0,0,725,434,72,0,17,47,8,0,147,
3,0,0,0,0,0,24,0,0,0,1,10,0,0,13,
6,0,0,0,0,0,53,0,0,0,2,19,0,0,32,
3,6,1,0,0,0,114,12,2,0,3,34,0,0,63,
2,6,20,8,0,0,327,156,27,0,8,47,3,0,86,
2,6,45,31,0,0,577,351,47,0,10,58,5,0,106,
4,4,68,35,0,3,769,490,48,0,33,68,8,0,122,
4,4,80,32,0,1,988,563,55,0,136,83,8,0,143,
6,0,0,0,0,0,36,0,0,0,1,13,0,0,22,
7,0,0,0,0,0,84,0,0,0,2,30,0,0,52,
2,5,2,0,0,0,138,17,1,0,3,43,0,0,74,
4,3,22,11,0,0,359,160,29,0,7,62,3,0,98,
3,5,48,38,0,0,619,371,30,0,10,80,5,0,123,
4,5,72,37,0,0,892,553,82,0,17,92,8,0,140,
4,3,80,30,0,0,1013,630,85,0,18,106,8,0,166,
4,0,0,0,0,0,28,0,0,0,1,11,0,0,16,
7,0,0,0,0,0,70,0,0,0,2,26,0,0,42,
2,6,3,1,0,0,170,34,6,0,3,50,0,0,77,
2,7,28,14,0,0,437,211,42,0,9,71,3,0,101,
0,8,51,28,0,0,684,380,83,0,11,81,5,0,124,
1,8,76,36,0,0,982,589,116,0,17,97,8,0,155,
5,3,80,13,0,0,1060,621,122,0,18,112,8,0,179,
5,0,0,0,0,0,31,0,0,0,1,12,0,0,18,
8,0,0,0,0,0,69,0,0,0,2,23,0,0,44,
2,6,4,4,0,0,141,39,0,0,4,35,0,0,63,
2,6,30,26,0,0,403,234,12,0,11,53,3,0,90,
2,5,52,34,0,0,632,393,41,0,15,68,5,0,110,
2,5,77,52,0,0,821,549,41,0,17,78,8,0,128,
5,3,80,39,0,0,907,580,41,0,18,103,8,0,157,
7,0,0,0,0,0,35,0,0,0,1,14,0,0,20,
7,0,0,0,0,0,78,0,0,0,2,32,0,0,44,
1,8,7,10,0,0,185,58,3,0,3,49,0,0,72,
3,5,31,14,0,0,496,250,75,0,6,63,3,0,99,
3,5,55,19,0,0,754,416,121,0,9,77,5,0,126,
2,8,78,27,0,0,1045,608,186,0,12,87,8,0,144,
6,1,80,13,0,0,1106,622,187,0,13,110,8,0,166,
7,0,0,0,0,0,31,0,0,0,1,14,0,0,16,
7,0,0,0,0,0,78,0,0,0,2,34,0,0,42,
1,7,8,13,0,1,195,73,7,0,4,47,0,0,64,
2,7,32,11,0,0,515,269,83,0,7,67,3,0,86,
1,8,59,31,0,0,805,498,107,0,11,79,5,0,105,
1,6,78,27,0,0,1061,675,129,0,14,98,8,0,137,
4,2,80,20,0,0,1114,688,129,0,15,113,8,0,161,
6,0,0,0,0,0,31,0,0,0,1,13,0,0,17,
9,0,0,0,0,0,96,0,0,0,2,40,0,0,54,
5,4,9,13,0,0,221,74,1,0,5,61,0,0,80,
4,5,35,31,0,0,448,232,25,0,12,78,3,0,98,
2,6,61,25,0,0,723,401,63,0,15,104,6,0,134,
5,3,79,11,0,0,957,535,106,0,19,124,8,0,165,
6,1,80,0,0,0,1026,543,106,0,20,146,8,0,203,
8,0,0,0,0,0,38,0,0,0,1,15,0,0,22,
7,0,0,0,0,0,70,0,0,0,2,26,0,0,42,
3,5,12,14,0,0,226,97,0,0,7,47,0,0,75,
4,5,39,34,0,0,525,312,23,0,11,67,3,0,109,
3,4,62,24,0,0,746,477,33,0,14,82,5,0,135,
3,6,80,37,0,0,932,592,51,0,17,100,8,0,164,
6,1,80,21,0,0,993,592,51,0,18,122,8,0,202,
7,0,0,0,0,0,43,0,0,0,1,18,0,0,24,
7,0,0,0,0,0,89,0,0,0,2,36,0,0,51,
1,7,16,14,0,1,291,142,15,0,6,52,0,0,76,
2,6,41,33,0,0,592,363,31,0,10,77,3,0,108,
2,6,65,28,0,2,859,568,36,0,16,101,5,0,133,
3,4,80,20,0,0,1046,694,49,0,22,117,8,0,156,
6,2,80,12,0,0,1082,694,49,0,23,128,8,0,180,
