msgOut,bytesOut,msgIn,bytesIn
0,0,4,88,
0,0,18,460,
18,596,0,0,
4,122,0,0,
0,0,1,55,
0,0,37,1313,
12,596,0,0,
25,917,0,0,
0,0,1,55,
0,0,37,1313,
12,596,0,0,
25,917,0,0,
0,0,64,3344,
0,0,85,3573,
167,8443,0,0,
29,1161,0,0,
0,0,101,4711,
0,0,141,6897,
326,16624,0,0,
63,2775,0,0,
0,0,191,8663,
0,0,215,10623,
405,19473,0,0,
185,9975,0,0,
0,0,208,9600,
0,0,274,13326,
500,23868,0,0,
185,9975,0,0,
0,0,10,244,
0,0,0,0,
2,42,0,0,
5,109,0,0,
0,0,5,231,
0,0,8,168,
4,84,0,0,
9,285,0,0,
0,0,14,646,
0,0,17,599,
15,623,0,0,
15,537,0,0,
0,0,107,5167,
0,0,75,3311,
113,5631,0,0,
77,3467,0,0,
0,0,192,9006,
0,0,189,9039,
184,8744,0,0,
203,9493,0,0,
0,0,235,10975,
0,0,288,13786,
209,9911,0,0,
366,17372,0,0,
0,0,216,10058,
0,0,385,18421,
158,7564,0,0,
506,24198,0,0,
0,0,0,0,
0,0,7,223,
2,76,0,0,
5,157,0,0,
0,0,2,100,
0,0,14,598,
7,341,0,0,
9,377,0,0,
0,0,19,869,
0,0,19,863,
18,816,0,0,
19,883,0,0,
0,0,110,5078,
0,0,77,3801,
69,3589,0,0,
129,6147,0,0,
0,0,148,7012,
0,0,256,11954,
113,5229,0,0,
265,13201,0,0,
0,0,241,11217,
0,0,349,16667,
187,8981,0,0,
350,17276,0,0,
0,0,231,10697,
0,0,442,21086,
105,4775,0,0,
502,24706,0,0,
0,0,5,187,
0,0,0,0,
0,0,0,0,
5,167,0,0,
0,0,7,277,
0,0,3,165,
1,55,0,0,
9,387,0,0,
0,0,30,1368,
0,0,18,912,
28,1242,0,0,
17,789,0,0,
0,0,146,7128,
0,0,89,4083,
107,4975,0,0,
142,6790,0,0,
0,0,201,10211,
0,0,207,9549,
159,7225,0,0,
255,12361,0,0,
0,0,132,6248,
0,0,493,23889,
129,6099,0,0,
496,23190,0,0,
0,0,72,3560,
0,0,590,28344,
47,2153,0,0,
609,28591,0,0,
0,0,1,21,
0,0,4,142,
1,55,0,0,
3,91,0,0,
0,0,1,55,
0,0,9,373,
3,121,0,0,
7,301,0,0,
0,0,34,1558,
0,0,19,817,
36,1638,0,0,
18,786,0,0,
0,0,154,7072,
0,0,101,4701,
103,4977,0,0,
145,6635,0,0,
0,0,133,6453,
0,0,286,13268,
138,6584,0,0,
278,13178,0,0,
0,0,224,10452,
0,0,355,16773,
232,11104,0,0,
370,17634,0,0,
0,0,129,5967,
0,0,490,23098,
175,8415,0,0,
460,21918,0,0,
0,0,2,76,
0,0,2,100,
0,0,0,0,
4,156,0,0,
0,0,4,166,
0,0,7,375,
4,190,0,0,
7,321,0,0,
0,0,39,1967,
0,0,36,1684,
64,2760,0,0,
16,748,0,0,
0,0,102,5102,
0,0,165,8023,
113,5393,0,0,
149,6559,0,0,
0,0,101,5153,
0,0,343,16819,
117,5635,0,0,
312,14178,0,0,
0,0,234,11592,
0,0,398,19596,
146,6984,0,0,
451,20665,0,0,
0,0,164,8396,
0,0,496,24148,
41,1911,0,0,
587,27257,0,0,
0,0,3,165,
0,0,0,0,
0,0,0,0,
4,156,0,0,
0,0,6,296,
0,0,4,220,
0,0,0,0,
10,476,0,0,
0,0,63,3007,
0,0,16,770,
50,2204,0,0,
18,894,0,0,
0,0,136,7380,
0,0,156,7022,
103,4673,0,0,
149,7147,0,0,
0,0,162,8016,
0,0,358,17068,
152,7040,0,0,
293,13825,0,0,
0,0,101,4775,
0,0,611,29305,
160,7216,0,0,
449,21069,0,0,
0,0,20,956,
0,0,711,34091,
128,5702,0,0,
501,23553,0,0,
0,0,2,110,
0,0,1,55,
0,0,0,0,
4,156,0,0,
0,0,3,165,
0,0,8,430,
3,165,0,0,
9,421,0,0,
0,0,51,2433,
0,0,41,1907,
41,1895,0,0,
46,2168,0,0,
0,0,140,6650,
0,0,115,5397,
126,6368,0,0,
142,7136,0,0,
0,0,106,5174,
0,0,328,15568,
79,3859,0,0,
383,19053,0,0,
0,0,48,2352,
0,0,527,25501,
99,4879,0,0,
510,25148,0,0,
0,0,1,55,
0,0,592,28690,
7,355,0,0,
620,30572,0,0,
0,0,1,55,
0,0,3,165,
1,45,0,0,
4,156,0,0,
0,0,3,131,
0,0,6,330,
4,210,0,0,
6,266,0,0,
0,0,63,2881,
0,0,52,2464,
80,3952,0,0,
32,1492,0,0,
0,0,97,4699,
0,0,239,11191,
145,6667,0,0,
174,8528,0,0,
0,0,129,6217,
0,0,384,18130,
156,7440,0,0,
338,16304,0,0,
0,0,98,4892,
0,0,540,25440,
192,8782,0,0,
438,21756,0,0,
0,0,3,165,
0,0,644,30652,
3,165,0,0,
636,30858,0,0,
0,0,2,76,
0,0,3,165,
1,55,0,0,
4,156,0,0,
0,0,4,186,
0,0,6,330,
2,100,0,0,
8,376,0,0,
0,0,110,5314,
0,0,48,2260,
100,4414,0,0,
43,1985,0,0,
0,0,201,9213,
0,0,188,9090,
73,3559,0,0,
258,11570,0,0,
0,0,220,10106,
0,0,376,17800,
78,3568,0,0,
420,19490,0,0,
0,0,222,10064,
0,0,512,24358,
58,2676,0,0,
574,26530,0,0,
0,0,90,4060,
0,0,649,30637,
16,776,0,0,
622,28760,0,0,
