MsgOut,BytesOut,MsgIn,BytesIn
0,0,3,63,
0,0,3,63,
6,126,0,0,
0,0,0,0,
0,0,7,151,
0,0,9,201,
15,387,0,0,
0,0,0,0,
0,0,8,172,
0,0,23,523,
29,1039,0,0,
1,65,0,0,
0,0,9,193,
0,0,35,799,
22,1108,0,0,
19,497,0,0,
0,0,11,235,
0,0,47,1075,
27,1243,0,0,
27,959,0,0,
0,0,15,319,
0,0,60,1426,
33,1531,0,0,
39,1481,0,0,
0,0,16,340,
0,0,72,1702,
24,1284,0,0,
60,2304,0,0,
0,0,13,273,
0,0,92,2258,
20,1068,0,0,
80,3288,0,0,
0,0,8,168,
0,0,105,2555,
20,1230,0,0,
88,3618,0,0,
0,0,6,126,
0,0,109,2647,
20,1230,0,0,
90,3768,0,0,
0,0,2,42,
0,0,113,2731,
20,1230,0,0,
90,3768,0,0,
0,0,2,42,
0,0,113,2731,
20,1230,0,0,
90,3768,0,0,
0,0,295,184363,
0,0,152,31414,
219,70157,0,0,
131,18669,0,0,
0,0,992,573334,
0,0,256,97892,
699,141527,0,0,
131,18669,0,0,
0,0,1578,984114,
0,0,783,417833,
1419,213847,0,0,
131,18669,0,0,
0,0,2145,1081423,
0,0,1656,1206456,
1939,148225,0,0,
1168,189838,0,0,
0,0,2533,775629,
0,0,2983,2085493,
3692,447136,0,0,
3099,327851,0,0,
0,0,3418,1300382,
0,0,4287,2312179,
4761,706271,0,0,
4810,619692,0,0,
0,0,4376,1656472,
0,0,6349,2947937,
5021,1059419,0,0,
9494,1152310,0,0,
0,0,6624,2041520,
0,0,7426,3531386,
7693,1406031,0,0,
10022,1544154,0,0,
0,0,9077,2459943,
0,0,10314,4098336,
7100,1034056,0,0,
15476,2542914,0,0,
0,0,9249,1966005,
0,0,15097,5322581,
10039,1340055,0,0,
17518,3014186,0,0,
0,0,10107,1472815,
0,0,17691,6267623,
11228,1565762,0,0,
19584,3321448,0,0,
0,0,12192,1436618,
0,0,20624,6992382,
14395,1962195,0,0,
19584,3321448,0,0,
0,0,10681,1931291,
0,0,25316,7416070,
15733,1676521,0,0,
21493,4015009,0,0,
0,0,11760,2490912,
0,0,29670,8097604,
18876,2066026,0,0,
22390,4063940,0,0,
0,0,8078,1660944,
0,0,36094,9889764,
19579,2420947,0,0,
25612,4224268,0,0,
0,0,8697,1605029,
0,0,38101,10825657,
17878,1475000,0,0,
33206,5945512,0,0,
0,0,5667,1428621,
0,0,45335,11936811,
17646,2401402,0,0,
38857,6362195,0,0,
0,0,6049,1733035,
0,0,47928,12730420,
21271,3700921,0,0,
38857,6362195,0,0,
0,0,9137,1590427,
0,0,49325,13817233,
24607,4628015,0,0,
38857,6362195,0,0,
0,0,10487,1309033,
0,0,52206,14854888,
25505,4112261,0,0,
44790,7706220,0,0,
0,0,13187,2049561,
0,0,52591,15006947,
28604,3988420,0,0,
47280,9172596,0,0,
0,0,10894,2244070,
0,0,57744,15650886,
33198,4962030,0,0,
47280,9172596,0,0,
0,0,11859,2283291,
0,0,60536,16689494,
30628,4143984,0,0,
53626,10905074,0,0,
0,0,13198,1646442,
0,0,63244,18332152,
31766,3624928,0,0,
59567,12385501,0,0,
0,0,15064,2433362,
0,0,63719,18419097,
32166,4267896,0,0,
62862,12538352,0,0,
0,0,17397,2442513,
0,0,66672,19128634,
26104,2002394,0,0,
76936,15655088,0,0,
0,0,13901,2288801,
0,0,74160,19754240,
21360,1842952,0,0,
85820,16308722,0,0,
0,0,16445,2558729,
0,0,74867,19851837,
22591,1910821,0,0,
89620,16769596,0,0,
0,0,12908,1392018,
0,0,79806,21330476,
24744,2153070,0,0,
89928,16840316,0,0,
0,0,15075,1572373,
0,0,80472,21542680,
25756,2323968,0,0,
89928,16840316,0,0,
0,0,0,0,
0,0,0,0,
1,21,0,0,
0,0,0,0,
0,0,2,96,
0,0,0,0,
1,21,0,0,
2,46,0,0,
0,0,3,171,
0,0,0,0,
1,21,0,0,
3,121,0,0,
0,0,4,138,
0,0,2,140,
2,42,0,0,
4,196,0,0,
0,0,5,213,
0,0,4,290,
3,171,0,0,
6,292,0,0,
0,0,4,192,
0,0,7,461,
3,171,0,0,
8,442,0,0,
0,0,2,96,
0,0,14,868,
6,396,0,0,
9,517,0,0,
0,0,3,161,
0,0,16,1018,
5,375,0,0,
13,763,0,0,
0,0,3,161,
0,0,18,1168,
3,225,0,0,
17,1063,0,0,
0,0,2,86,
0,0,20,1318,
3,225,0,0,
18,1138,0,0,
0,0,122,66108,
0,0,27,7651,
115,55877,0,0,
23,4417,0,0,
0,0,515,229509,
0,0,134,104282,
426,207046,0,0,
85,31145,0,0,
0,0,1320,530020,
0,0,349,166131,
917,362933,0,0,
653,219459,0,0,
0,0,2309,756955,
0,0,932,451746,
1535,702053,0,0,
1019,341267,0,0,
0,0,3182,1107620,
0,0,1915,704437,
2355,756585,0,0,
1454,680080,0,0,
0,0,4792,1352506,
0,0,3081,1271733,
3254,923786,0,0,
1897,849641,0,0,
0,0,4836,1473988,
0,0,5238,1853088,
5604,1189576,0,0,
3809,1411339,0,0,
0,0,6758,2395458,
0,0,7079,2019553,
6296,1714830,0,0,
5847,1876393,0,0,
0,0,8879,2206171,
0,0,8874,3390030,
10203,2177633,0,0,
6970,2519692,0,0,
0,0,10453,3234333,
0,0,11667,3680067,
10382,2124118,0,0,
9684,3374446,0,0,
0,0,10698,3220656,
0,0,15779,5308807,
10273,1755247,0,0,
14581,4656595,0,0,
0,0,11653,3194633,
0,0,20222,6550338,
8753,1865191,0,0,
20532,5404734,0,0,
0,0,11148,3127230,
0,0,25193,7530795,
9553,2404447,0,0,
22972,5796278,0,0,
0,0,9178,3007188,
0,0,30527,8744193,
8237,2470315,0,0,
29125,6700431,0,0,
0,0,11632,3471960,
0,0,33122,9374960,
10689,2796525,0,0,
31002,7370882,0,0,
0,0,12081,3116539,
0,0,37478,10652712,
9981,3125005,0,0,
34435,7886127,0,0,
0,0,13692,3350910,
0,0,39811,11259939,
8857,1676337,0,0,
40077,10189311,0,0,
0,0,12951,2212975,
0,0,47929,13507873,
12540,1688262,0,0,
42988,11297428,0,0,
0,0,14181,2563531,
0,0,50946,14035432,
11769,1862311,0,0,
47636,12103684,0,0,
0,0,9330,1652266,
0,0,61163,15595269,
13842,1481858,0,0,
52312,13489104,0,0,
0,0,10995,2199719,
0,0,63090,15734180,
17102,2285492,0,0,
53399,13557569,0,0,
0,0,11067,1823429,
0,0,66783,16820415,
21005,2500351,0,0,
56066,14223186,0,0,
0,0,11350,1578134,
0,0,71925,17605959,
22732,2587730,0,0,
58115,14817043,0,0,
0,0,12392,1847140,
0,0,74094,17830572,
21930,2963698,0,0,
62379,15006537,0,0,
0,0,13314,1088702,
0,0,76300,18911794,
24750,3531002,0,0,
63223,15087939,0,0,
0,0,12702,954936,
0,0,80655,19599985,
25199,2525683,0,0,
65619,16556541,0,0,
0,0,10385,1142985,
0,0,85088,19964376,
30515,2085889,0,0,
68236,17562080,0,0,
0,0,11825,1488799,
0,0,85309,19983131,
27844,2066122,0,0,
73222,17850258,0,0,
0,0,12764,1263832,
0,0,88471,20557167,
28015,2054613,0,0,
74912,18069766,0,0,
0,0,13712,1068622,
0,0,88840,20896022,
28226,2016122,0,0,
76044,18310200,0,0,
0,0,9382,897662,
0,0,93831,21168205,
28154,1985470,0,0,
78711,18524403,0,0,
0,0,6754,658178,
0,0,96707,21440679,
20162,1603806,0,0,
87505,19041555,0,0,
0,0,0,0,
0,0,0,0,
1,21,0,0,
0,0,0,0,
0,0,1,75,
0,0,0,0,
0,0,0,0,
2,46,0,0,
0,0,2,96,
0,0,4,300,
4,246,0,0,
3,121,0,0,
0,0,1,75,
0,0,8,546,
6,396,0,0,
4,196,0,0,
0,0,2,150,
0,0,10,696,
7,471,0,0,
6,346,0,0,
0,0,3,225,
0,0,12,846,
7,461,0,0,
9,571,0,0,
0,0,3,225,
0,0,19,1371,
6,440,0,0,
17,1107,0,0,
0,0,2,150,
0,0,22,1596,
6,440,0,0,
19,1257,0,0,
0,0,1,75,
0,0,26,1896,
5,365,0,0,
23,1557,0,0,
0,0,2,140,
0,0,27,1971,
5,365,0,0,
25,1707,0,0,
0,0,187,86843,
0,0,37,8387,
183,87899,0,0,
33,5099,0,0,
0,0,529,279803,
0,0,148,52022,
508,271208,0,0,
116,26728,0,0,
0,0,1302,499862,
0,0,429,137497,
1580,658052,0,0,
238,88058,0,0,
0,0,2119,787723,
0,0,861,231639,
2794,908498,0,0,
559,317029,0,0,
0,0,2755,761207,
0,0,1929,684781,
3870,1197080,0,0,
1678,539510,0,0,
0,0,3144,962178,
0,0,3363,860081,
5111,1616853,0,0,
2231,670009,0,0,
0,0,4974,1022350,
0,0,5162,1289612,
5993,1142053,0,0,
4284,1666174,0,0,
0,0,6755,1032863,
0,0,6626,1886176,
6665,1476863,0,0,
5834,1784364,0,0,
0,0,6895,1420379,
0,0,9451,2620279,
7446,1570274,0,0,
8363,2444769,0,0,
0,0,7978,2252826,
0,0,11205,2853513,
5996,1473102,0,0,
14832,3434158,0,0,
0,0,6195,1713705,
0,0,16705,4319813,
7759,2365567,0,0,
16735,3850067,0,0,
0,0,6982,1969172,
0,0,18917,5086775,
9489,3326539,0,0,
18498,4059208,0,0,
0,0,8403,1825177,
0,0,21826,5998232,
10389,2948583,0,0,
23580,5653716,0,0,
0,0,9092,1589990,
0,0,25706,7209342,
10244,3195032,0,0,
26557,6421417,0,0,
0,0,10796,1544962,
0,0,27382,8126534,
11266,2639302,0,0,
31309,8392705,0,0,
0,0,11450,1716724,
0,0,29629,8726751,
13347,3508805,0,0,
32316,8764982,0,0,
0,0,12521,2001373,
0,0,33520,9195482,
12570,2721630,0,0,
37396,10761216,0,0,
0,0,11635,1548597,
0,0,38402,10274704,
13677,2294075,0,0,
40123,12127827,0,0,
0,0,11173,1855691,
0,0,41425,10482345,
17106,2821456,0,0,
41548,12417690,0,0,
0,0,15236,2399816,
0,0,42217,10522659,
14815,2781667,0,0,
46875,13034277,0,0,
0,0,16128,1883108,
0,0,45830,11461576,
10562,1196160,0,0,
56608,15357706,0,0,
0,0,15954,1534356,
0,0,52422,12298474,
12389,1795123,0,0,
60232,16240046,0,0,
0,0,19316,1846712,
0,0,55942,12542228,
13976,2098584,0,0,
62036,17081776,0,0,
0,0,17896,2388802,
0,0,63201,12966271,
15903,2768241,0,0,
63042,17255588,0,0,
0,0,18481,2369957,
0,0,67537,13814105,
17655,3469023,0,0,
64417,17449717,0,0,
0,0,17390,2013226,
0,0,71210,14598252,
21312,2955798,0,0,
68291,18895999,0,0,
0,0,17699,1723473,
0,0,73824,15235270,
19614,3143236,0,0,
73263,19579509,0,0,
0,0,19450,2136760,
0,0,75119,15290967,
16779,2362983,0,0,
78113,20842435,0,0,
0,0,20780,2225920,
0,0,75641,15584529,
16648,2387058,0,0,
79451,21104059,0,0,
0,0,19255,1437827,
0,0,80486,16798906,
16645,2037619,0,0,
81451,21724493,0,0,
0,0,11822,975872,
0,0,89420,17507556,
10840,1115270,0,0,
88497,22805579,0,0,
0,0,8317,773667,
0,0,94069,17834819,
7885,1026887,0,0,
92260,23003266,0,0,
0,0,0,0,
0,0,0,0,
1,21,0,0,
0,0,0,0,
0,0,1,75,
0,0,0,0,
0,0,0,0,
2,46,0,0,
0,0,1,75,
0,0,1,75,
0,0,0,0,
3,121,0,0,
0,0,3,171,
0,0,2,150,
2,96,0,0,
4,196,0,0,
0,0,3,225,
0,0,10,696,
7,471,0,0,
7,411,0,0,
0,0,3,215,
0,0,13,921,
7,471,0,0,
10,636,0,0,
0,0,3,215,
0,0,16,1146,
8,546,0,0,
12,786,0,0,
0,0,2,96,
0,0,24,1736,
6,450,0,0,
20,1322,0,0,
0,0,2,96,
0,0,26,1886,
6,450,0,0,
22,1472,0,0,
0,0,12,9558,
0,0,26,1886,
27,19281,0,0,
23,1547,0,0,
0,0,248,121638,
0,0,87,28303,
220,81430,0,0,
41,10361,0,0,
0,0,740,314478,
0,0,407,158049,
664,137760,0,0,
234,92798,0,0,
0,0,1161,427625,
0,0,994,396566,
1611,300557,0,0,
574,213552,0,0,
0,0,1825,780557,
0,0,1640,499776,
2836,547006,0,0,
877,264683,0,0,
0,0,2714,1174250,
0,0,2487,752837,
4239,824945,0,0,
1504,411246,0,0,
0,0,3284,1267440,
0,0,4149,1529699,
5936,1202164,0,0,
2028,504196,0,0,
0,0,3582,1244352,
0,0,5888,2170554,
6754,1218116,0,0,
4683,1167171,0,0,
0,0,5905,2132845,
0,0,5973,2259209,
6882,1279186,0,0,
6948,1744538,0,0,
0,0,7563,1929961,
0,0,9624,3769988,
8734,1876936,0,0,
8662,1935782,0,0,
0,0,7345,2917653,
0,0,13602,4417932,
7920,1578844,0,0,
12458,2596572,0,0,
0,0,5916,3461304,
0,0,18491,5471113,
10830,1374734,0,0,
15869,3252981,0,0,
0,0,6149,2878563,
0,0,20810,7309920,
9990,1319180,0,0,
21009,4060167,0,0,
0,0,4129,1620487,
0,0,25811,9664747,
8960,924712,0,0,
26422,5072428,0,0,
0,0,5512,1164654,
0,0,28708,10821152,
9557,928969,0,0,
34145,6050023,0,0,
0,0,4128,681782,
0,0,32463,11643515,
2924,597772,0,0,
44370,7528534,0,0,
0,0,5026,612560,
0,0,34542,12075984,
4871,1113331,0,0,
46534,8211514,0,0,
0,0,7472,1344334,
0,0,35847,12181297,
6738,1309160,0,0,
49372,8971096,0,0,
0,0,9804,1724416,
0,0,37414,12593806,
7518,1632836,0,0,
50990,9631072,0,0,
0,0,11735,2025499,
0,0,40556,13338676,
8193,1831703,0,0,
52665,10377963,0,0,
0,0,16622,2942428,
0,0,43795,13694331,
9069,2291085,0,0,
54270,10748826,0,0,
0,0,17722,3849804,
0,0,48335,13959493,
10366,1444052,0,0,
56316,12098478,0,0,
0,0,16613,4812931,
0,0,53342,14289046,
11256,1760500,0,0,
57559,12217973,0,0,
0,0,15626,3060158,
0,0,59891,17358457,
12179,865785,0,0,
63958,13976688,0,0,
0,0,15066,2035538,
0,0,64137,19119641,
14180,1596100,0,0,
69341,14398283,0,0,
0,0,12771,1457347,
0,0,69281,20284041,
16304,1774820,0,0,
72793,15025431,0,0,
0,0,11991,1609595,
0,0,71921,20542459,
11327,1703421,0,0,
81668,16002502,0,0,
0,0,13379,1862291,
0,0,74425,21031363,
9494,1263716,0,0,
86444,16991050,0,0,
0,0,13954,1876516,
0,0,77134,21674468,
10737,1117217,0,0,
88908,17629048,0,0,
0,0,11936,1869266,
0,0,81103,22086889,
8590,986480,0,0,
92248,18064056,0,0,
0,0,12638,2172668,
0,0,81849,22150985,
9123,1001365,0,0,
92523,18217995,0,0,
0,0,9785,1750163,
0,0,86496,22814934,
10665,1124535,0,0,
93411,18291433,0,0,
0,0,7424,813456,
0,0,89236,23799146,
9143,930661,0,0,
96194,18589224,0,0,
0,0,0,0,
0,0,0,0,
1,21,0,0,
0,0,0,0,
0,0,2,96,
0,0,0,0,
0,0,0,0,
2,46,0,0,
0,0,3,171,
0,0,2,150,
2,150,0,0,
3,121,0,0,
0,0,5,257,
0,0,5,375,
4,300,0,0,
5,271,0,0,
0,0,5,257,
0,0,13,813,
8,438,0,0,
9,571,0,0,
0,0,3,215,
0,0,23,1401,
7,471,0,0,
17,1053,0,0,
0,0,4,290,
0,0,27,1701,
7,525,0,0,
21,1299,0,0,
0,0,3,215,
0,0,29,1851,
7,525,0,0,
23,1449,0,0,
0,0,2,140,
0,0,31,2001,
6,450,0,0,
25,1599,0,0,
0,0,42,28604,
0,0,33,3119,
31,15261,0,0,
34,7002,0,0,
0,0,328,137994,
0,0,118,54782,
261,98075,0,0,
85,23151,0,0,
0,0,1036,319360,
0,0,284,93016,
888,324860,0,0,
308,61994,0,0,
0,0,1948,497586,
0,0,906,275658,
1716,564880,0,0,
678,152966,0,0,
0,0,2750,945116,
0,0,1717,392345,
2423,656757,0,0,
1676,433852,0,0,
0,0,3783,895107,
0,0,3019,977527,
2578,449612,0,0,
3792,994870,0,0,
0,0,5136,1130964,
0,0,4750,1400310,
4584,961886,0,0,
4469,1094423,0,0,
0,0,5685,1011713,
0,0,7542,2351894,
6411,1221267,0,0,
5733,1466977,0,0,
0,0,7193,1971777,
0,0,9380,2710250,
8622,1576604,0,0,
7177,1881633,0,0,
0,0,10485,2574873,
0,0,11210,3422180,
11158,2184814,0,0,
8518,2036074,0,0,
0,0,8556,2102268,
0,0,16552,4876004,
13229,2946979,0,0,
11134,2184676,0,0,
0,0,10142,2100726,
0,0,19378,5681848,
14450,2763752,0,0,
13199,3032595,0,0,
0,0,9509,1617303,
0,0,24377,7095841,
16239,3116245,0,0,
15796,3560478,0,0,
0,0,5468,1754878,
0,0,31239,7832469,
18756,3625434,0,0,
20317,4299739,0,0,
0,0,8613,2393985,
0,0,32138,8143816,
17076,1980138,0,0,
28313,6985149,0,0,
0,0,10650,2324204,
0,0,34851,9233419,
16296,2061662,0,0,
32268,7586524,0,0,
0,0,14191,3380305,
0,0,36745,9420391,
18156,2722604,0,0,
34640,7706956,0,0,
0,0,13369,3083751,
0,0,41894,10780744,
22190,3411788,0,0,
36282,7818544,0,0,
0,0,12234,2436398,
0,0,48549,12320693,
22111,2785289,0,0,
41338,8967840,0,0,
0,0,16370,2953448,
0,0,48748,12432052,
28016,2761046,0,0,
42246,9674344,0,0,
0,0,13178,2623926,
0,0,55139,13392247,
27615,2264039,0,0,
47348,10752026,0,0,
0,0,15811,2703389,
0,0,56055,13969989,
28823,2445541,0,0,
50861,11145863,0,0,
0,0,17584,2978056,
0,0,57296,14205132,
28110,2771606,0,0,
54972,11464610,0,0,
0,0,15640,1289732,
0,0,62822,16351434,
27907,2327523,0,0,
60888,12702636,0,0,
0,0,12955,1255197,
0,0,68149,16652707,
29699,2611185,0,0,
62361,13019843,0,0,
0,0,15087,1588145,
0,0,68264,16772652,
28618,2965090,0,0,
66389,13359147,0,0,
0,0,13436,794646,
0,0,73066,17857818,
28397,2901855,0,0,
69404,14043560,0,0,
0,0,13467,897077,
0,0,74975,18032449,
27016,2902348,0,0,
74549,14954115,0,0,
0,0,14627,881013,
0,0,76439,18312231,
27916,3266442,0,0,
75603,15058053,0,0,
0,0,13953,939417,
0,0,79262,18492044,
28422,3100210,0,0,
76662,15551864,0,0,
0,0,13624,996476,
0,0,80749,18604013,
29388,3271066,0,0,
76958,15615930,0,0,
0,0,12891,827025,
0,0,84938,18956984,
26326,2465474,0,0,
80885,16544859,0,0,
0,0,0,0,
0,0,0,0,
1,21,0,0,
0,0,0,0,
0,0,1,75,
0,0,0,0,
0,0,0,0,
2,46,0,0,
0,0,0,0,
0,0,5,267,
3,107,0,0,
3,121,0,0,
0,0,3,161,
0,0,6,342,
5,257,0,0,
4,196,0,0,
0,0,3,117,
0,0,8,472,
3,161,0,0,
7,367,0,0,
0,0,6,234,
0,0,8,472,
2,140,0,0,
9,463,0,0,
0,0,6,234,
0,0,11,697,
4,290,0,0,
10,538,0,0,
