MsgOut,BytesOut,MsgIn,BytesIn
0,0,0,0,
0,0,12,268,
4,120,0,0,
6,126,0,0,
0,0,0,0,
0,0,14,318,
6,200,0,0,
6,126,0,0,
0,0,0,0,
0,0,14,318,
6,200,0,0,
6,126,0,0,
0,0,0,0,
0,0,14,318,
6,200,0,0,
6,126,0,0,
0,0,0,0,
0,0,14,318,
6,200,0,0,
6,126,0,0,
0,0,0,0,
0,0,14,318,
6,200,0,0,
6,126,0,0,
0,0,45,2269,
0,0,14,318,
59,2831,0,0,
6,126,0,0,
0,0,1,25,
0,0,3,63,
0,0,0,0,
4,88,0,0,
0,0,3,125,
0,0,3,63,
0,0,0,0,
6,158,0,0,
0,0,5,235,
0,0,3,63,
0,0,0,0,
8,268,0,0,
0,0,7,345,
0,0,3,63,
0,0,0,0,
10,378,0,0,
0,0,9,455,
0,0,3,63,
0,0,0,0,
12,488,0,0,
0,0,17,811,
0,0,3,63,
5,227,0,0,
14,598,0,0,
0,0,1,25,
0,0,0,0,
0,0,0,0,
2,46,0,0,
0,0,3,105,
0,0,2,70,
1,45,0,0,
5,161,0,0,
0,0,5,215,
0,0,2,70,
1,45,0,0,
7,261,0,0,
0,0,7,325,
0,0,2,70,
1,45,0,0,
9,371,0,0,
0,0,9,435,
0,0,2,70,
1,45,0,0,
11,481,0,0,
0,0,16,798,
0,0,2,70,
8,424,0,0,
13,591,0,0,
0,0,1,35,
0,0,3,63,
0,0,0,0,
4,88,0,0,
0,0,1,35,
0,0,9,363,
4,210,0,0,
6,168,0,0,
0,0,1,35,
0,0,17,803,
8,430,0,0,
10,388,0,0,
0,0,1,35,
0,0,25,1243,
12,650,0,0,
14,608,0,0,
0,0,1,35,
0,0,33,1683,
16,870,0,0,
18,828,0,0,
0,0,9,379,
0,0,47,2439,
32,1606,0,0,
22,1048,0,0,
0,0,1,35,
0,0,0,0,
0,0,0,0,
2,46,0,0,
0,0,2,80,
0,0,4,200,
2,110,0,0,
5,191,0,0,
0,0,2,80,
0,0,8,420,
2,110,0,0,
9,411,0,0,
0,0,2,80,
0,0,12,640,
2,110,0,0,
13,631,0,0,
0,0,2,80,
0,0,16,860,
2,110,0,0,
17,851,0,0,
0,0,22,1072,
0,0,25,1297,
21,915,0,0,
21,1071,0,0,
