InConnections,,,, InConnections (Old),,,, OutConnections,,,, OutConnections(Old)
MsgOut,BytesOut,MsgIn,BytesIn,MsgOut,BytesOut,MsgIn,BytesIn,MsgOut,BytesOut,MsgIn,BytesIn,MsgOut,BytesOut,MsgIn,BytesIn,
0,408,12,0,0,2959,109,0,249,0,0,10572288,8008,0,0,55455425,
0,27774814,10329,0,0,75362417,53218,0,29328,0,0,0,3,0,0,1243,
0,354451,957,0,0,7854182,10408,0,8303,0,0,22299480,38918,0,0,114999249,
0,30315794,20479,0,0,184433562,0,0,2,0,0,225,28,0,0,11650340,
0,9247754,12178,0,0,52650852,37112,0,19996,0,0,34487462,58164,0,0,192500508,
0,0,2,0,0,1064,26,0,1285,0,0,7430783,9216,0,0,55255517,
0,32732237,12846,0,0,163038778,57367,0,14955,0,0,0,2,0,0,1361,
0,170966,761,0,0,9027104,8345,0,10387,0,0,16596280,41814,0,0,127495562,
0,17970194,14463,0,0,163763904,0,0,2,0,0,150,14,0,0,4347326,
0,10414748,8727,0,0,57858808,38798,0,17054,0,0,10547190,62635,0,0,158134661,
0,21,1,0,0,763,21,0,775,0,0,16287608,7596,0,0,69108168,
0,22978905,13541,0,0,102312228,70989,0,22345,0,0,2895480,0,0,0,321,
0,225,565,0,0,13469700,6882,0,10970,0,0,5204795,35577,0,0,122090944,
0,15915628,11380,0,0,202586023,0,0,0,0,0,75,18,0,0,10130140,
0,28882634,11578,0,0,86131050,39972,0,10423,0,0,19161991,82909,0,0,213894777,
0,0,2,0,0,496,52,0,1966,0,0,20894787,13786,0,0,72819274,
0,16274217,11493,0,0,143438333,78546,0,26353,0,0,0,2,0,0,600,
0,1310720,861,0,0,19659578,11042,0,8766,0,0,29435765,42910,0,0,163456194,
0,27335915,11572,0,0,211639631,0,0,6,0,0,395,17,0,0,3255793,
0,6340951,3473,0,0,36238924,22066,0,15169,0,0,14921730,76215,0,0,202528407,
0,21,1,0,0,517,24,0,1796,0,0,8343978,10939,0,0,46858958,
0,24249217,20509,0,0,158383266,71798,0,10015,0,0,1884111,0,0,0,525,
0,483192,983,0,0,14702124,9587,0,9439,0,0,30757678,38031,0,0,138736322,
0,15476797,19897,0,0,168610615,100889,0,1,0,0,213,25,0,0,6526575,
0,26043678,9716,0,0,78889994,44606,0,17043,0,0,8977250,68450,0,0,173952077,
0,935696,3,0,0,538,18,0,968,0,0,13681315,9986,0,0,55137321,
0,18342217,10257,0,0,145292231,65535,0,6908,0,0,2974415,88635,0,0,300,
0,211325,593,0,0,14139103,8868,0,11102,0,0,26324128,41182,0,0,126475634,
0,18565354,14338,0,0,161781665,96291,0,0,0,0,171,16,0,0,11319666,
0,8935813,7702,0,0,65077028,41434,0,17954,0,0,16063709,71996,0,0,182394448,
0,1572785,0,0,0,282,10,0,453,0,0,14326703,7182,0,0,68448067,
0,26061813,13494,0,0,139091836,73909,0,7377,0,0,5389442,95098,0,0,621,
0,444007,1132,0,0,7111627,9593,0,10736,0,0,20995514,52721,0,0,145526566,
0,9359180,15273,0,0,180416210,93364,0,0,0,0,225,27,0,0,6838707,
0,13749718,7742,0,0,64409536,40263,0,21183,0,0,19637755,84110,0,0,182508496,
0,6469546,0,0,0,271,14,0,1227,0,0,12271937,8464,0,0,64332584,
0,14564707,17981,0,0,180563075,74911,0,10688,0,0,852964,93305,0,0,98,
0,46,6,0,0,145266,950,0,6220,0,0,19562401,21852,0,0,79628353,
0,13339437,18861,0,0,102152085,75144,0,1,0,0,150,14,0,0,7430520,
0,11045915,8055,0,0,42983814,37669,0,13325,0,0,7146771,69460,0,0,164355906,
0,3061434,5888,0,0,196,3,0,711,0,0,11787811,6889,0,0,86649920,
0,22941147,13241,0,0,132595433,65113,0,16440,0,0,7785704,101107,0,0,0,
0,271564,906,0,0,10331645,10611,0,10681,0,0,7785517,41095,0,0,120964178,
0,11961425,14835,0,0,121557923,85514,0,1,0,0,290,7,0,0,7549477,
0,9033176,8848,0,0,64657529,39897,0,10659,0,0,23847464,70334,0,0,171081695,
0,1063140,3035,0,0,196,4,0,988,0,0,17442339,8953,0,0,79490828,
0,14824852,12833,0,0,132185890,78316,0,19581,0,0,3625504,110397,0,0,75,
0,0,233,0,0,6497485,4875,0,8206,0,0,25337242,38214,0,0,129450794,
0,11300759,19993,0,0,151870828,89946,0,5578,0,0,0,6,0,0,8633751,
0,23165536,9044,0,0,82895300,34880,0,15837,0,0,21032005,68568,0,0,180558915,
0,2946713,2190,0,0,121,2,0,608,0,0,8425751,6176,0,0,46986932,
0,32185907,13280,0,0,140049788,65945,0,22054,0,0,4688494,81287,0,0,75,
0,180850,476,0,0,13365785,6790,0,10011,0,0,14452836,33082,0,0,104608497,
0,12942030,15332,0,0,183928682,100641,0,2359,0,0,150,6,0,0,8850996,
0,34121837,7311,0,0,100030275,39131,0,18952,0,0,20210711,71069,0,0,185845234,
0,3036661,4809,0,0,221,12,0,9,0,0,3560049,476,0,0,22216788,
0,19731566,11536,0,0,105643636,51544,0,12684,0,0,11127447,72913,0,0,150,
0,3017377,886,0,0,22488020,10862,0,13071,0,0,17298775,40644,0,0,137043771,
0,18870758,13469,0,0,199049063,96008,0,0,0,0,1293416,179,0,0,18166237,
0,17488138,8955,0,0,96478298,43453,0,19983,0,0,13158163,76319,0,0,137867646,
0,4246760,0,0,0,271,134,0,2985,0,0,17725537,17904,0,0,101575971,
0,14302065,14672,0,0,133911103,80746,0,21587,0,0,743719,102971,0,0,225,
0,4470685,1802,0,0,28185203,11102,0,8117,0,0,39097050,48040,0,0,136914006,
0,15288947,16291,0,0,199335328,96246,0,0,0,0,2085865,366,0,0,18493226,
0,23937163,12020,0,0,106307315,41224,0,13654,0,0,22807184,68132,0,0,126052985,
0,604883,0,0,0,271,181,0,3574,0,0,16467963,21028,0,0,72209906,
0,12657839,9543,0,0,161734101,76199,0,8889,0,0,622850,90740,0,0,10182,
