neighbours,received,totalEvents,messagesIn,messagesFailed,messagesSent,timers,notifications,requests,replies,customChannelEvents
6,0,48,0,0,0,1,11,0,0,36,
9,0,142,0,0,0,2,44,0,0,96,
9,0,159,0,0,0,3,44,0,0,112,
9,18,267,71,0,0,23,44,3,0,126,
9,42,403,166,0,0,44,44,5,0,144,
9,68,522,243,0,0,65,44,8,0,162,
9,80,626,312,0,0,86,44,8,0,176,
9,80,676,324,0,0,107,44,8,0,193,
9,80,724,335,0,0,128,44,8,0,209,
2,0,24,0,0,0,1,9,0,0,14,
7,0,62,0,0,0,2,22,0,0,38,
6,1,96,5,0,0,4,29,0,0,58,
7,20,270,117,0,0,25,44,3,0,81,
7,45,442,234,0,0,46,56,5,0,101,
7,70,620,347,0,0,67,68,8,0,130,
7,80,763,414,0,0,88,92,8,0,161,
6,80,850,439,0,0,109,105,8,0,189,
6,80,941,463,0,0,130,121,8,0,219,
6,0,32,0,0,0,1,13,0,0,18,
7,0,68,0,0,0,2,26,0,0,40,
7,2,127,7,0,0,7,46,0,0,67,
7,25,282,98,0,0,28,62,3,0,91,
7,48,436,202,0,0,49,72,5,0,108,
7,74,631,323,0,0,70,90,8,0,140,
7,80,718,357,0,0,91,102,8,0,160,
8,80,803,381,0,0,112,113,8,0,189,
7,80,886,405,1,0,133,122,8,0,217,
5,0,31,0,0,0,1,12,0,0,18,
7,0,68,0,0,0,2,26,0,0,40,
8,3,143,21,0,0,8,43,0,0,71,
8,26,304,111,0,0,29,63,3,0,98,
6,50,464,206,0,0,50,79,5,0,124,
7,74,623,295,0,0,71,92,8,0,157,
7,80,740,348,0,0,92,112,8,0,180,
8,80,816,364,0,0,113,127,8,0,204,
8,80,895,378,2,0,134,143,8,0,230,
6,0,34,0,0,0,1,13,0,0,20,
8,0,63,0,0,0,2,27,0,0,34,
7,4,135,21,0,0,10,46,0,0,58,
7,28,322,142,2,0,31,64,3,0,80,
7,52,495,252,2,0,52,78,5,0,106,
7,76,693,372,2,0,73,102,8,0,136,
8,80,804,414,2,0,94,123,8,0,163,
7,80,877,431,2,0,115,136,8,0,185,
7,80,962,443,4,0,136,154,8,0,217,
6,0,37,0,0,0,1,13,0,0,23,
6,0,81,0,0,0,2,29,0,0,50,
8,7,155,28,0,0,12,45,0,0,70,
7,30,324,136,0,0,33,60,3,0,92,
7,56,515,260,0,0,54,76,5,0,120,
8,77,669,352,0,0,75,93,8,0,141,
7,80,768,379,0,0,96,116,8,0,169,
7,80,844,401,0,0,117,128,8,0,190,
7,80,933,425,5,0,138,140,8,0,217,
7,0,36,0,0,0,1,14,0,0,21,
7,0,83,0,0,0,2,32,0,0,49,
6,9,194,56,0,0,15,51,0,0,72,
7,35,388,192,0,0,36,66,3,0,91,
7,59,564,313,0,0,57,80,5,0,109,
7,79,728,406,0,0,78,98,8,0,138,
8,80,814,430,0,0,99,117,8,0,160,
7,80,897,450,0,0,120,134,8,0,185,
7,80,976,467,3,0,141,150,8,0,207,
7,0,35,0,0,0,1,14,0,0,20,
8,0,89,0,0,0,2,37,0,0,50,
7,10,186,47,0,0,16,50,0,0,73,
7,36,398,183,1,0,37,74,3,0,100,
7,60,581,295,1,0,58,94,5,0,128,
7,79,714,373,1,0,79,106,8,0,147,
6,80,799,392,1,0,100,129,8,0,169,
9,80,899,418,1,0,121,150,8,0,201,
7,80,981,432,6,0,142,162,8,0,231,
7,0,35,0,0,0,1,14,0,0,20,
8,0,98,0,0,0,2,37,0,0,59,
8,13,227,65,0,0,18,57,0,0,87,
7,38,402,157,1,0,39,82,3,0,120,
7,64,608,274,1,0,60,112,5,0,156,
8,80,787,364,1,0,81,143,8,0,190,
8,80,911,391,1,0,102,175,8,0,234,
6,80,1002,411,1,0,123,195,8,0,264,
5,80,1079,425,6,0,144,202,8,0,294,
6,0,32,0,0,0,1,13,0,0,18,
7,0,67,0,0,0,2,26,0,0,39,
7,17,191,67,1,0,21,42,0,0,60,
7,42,365,167,1,0,42,60,3,0,92,
9,68,541,264,2,0,63,82,6,0,124,
7,80,646,316,2,0,84,92,8,0,144,
7,80,742,333,2,0,105,116,8,0,178,
8,80,816,350,2,0,126,133,8,0,197,
