msgOut,bytesOut,msgIn,bytesIn
0,0,3,63,
0,0,17,415,
10,374,0,0,
8,182,0,0,
0,0,0,0,
0,0,40,1468,
10,476,0,0,
28,1120,0,0,
0,0,0,0,
0,0,42,1578,
12,586,0,0,
28,1120,0,0,
0,0,56,4376,
0,0,60,2776,
103,7455,0,0,
28,1120,0,0,
0,0,42,8398,
0,0,175,14149,
217,23123,0,0,
28,1120,0,0,
0,0,22,5266,
0,0,274,34586,
337,47193,0,0,
28,1120,0,0,
0,0,58,27826,
0,0,310,47922,
402,74548,0,0,
28,1120,0,0,
0,0,18,11994,
0,0,363,79349,
423,100503,0,0,
28,1120,0,0,
0,0,4,5180,
0,0,391,100573,
446,126558,0,0,
28,1120,0,0,
0,0,3,87,
0,0,7,147,
1,21,0,0,
5,109,0,0,
0,0,4,166,
0,0,10,278,
3,97,0,0,
11,317,0,0,
0,0,8,418,
0,0,15,513,
7,343,0,0,
16,558,0,0,
0,0,65,5797,
0,0,77,5023,
50,4520,0,0,
65,3883,0,0,
0,0,128,15368,
0,0,135,12527,
81,12321,0,0,
144,12354,0,0,
0,0,88,19068,
0,0,293,34873,
106,21632,0,0,
238,27826,0,0,
0,0,72,29578,
0,0,384,63290,
40,13758,0,0,
365,63141,0,0,
0,0,71,39675,
0,0,414,85768,
17,19415,0,0,
412,83604,0,0,
0,0,11,13005,
0,0,505,143903,
29,31205,0,0,
427,98069,0,0,
0,0,2,76,
0,0,2,90,
0,0,0,0,
5,157,0,0,
0,0,3,131,
0,0,7,331,
2,110,0,0,
8,322,0,0,
0,0,7,377,
0,0,16,772,
12,644,0,0,
15,693,0,0,
0,0,85,8893,
0,0,35,1891,
64,5714,0,0,
73,5151,0,0,
0,0,95,12939,
0,0,132,13942,
92,12808,0,0,
150,15216,0,0,
0,0,82,12760,
0,0,273,41969,
89,16879,0,0,
274,37238,0,0,
0,0,64,19096,
0,0,329,53703,
69,17991,0,0,
338,62962,0,0,
0,0,68,33106,
0,0,353,70973,
22,17234,0,0,
409,89839,0,0,
0,0,12,14290,
0,0,437,121079,
22,26000,0,0,
432,105888,0,0,
0,0,1,21,
0,0,7,223,
3,87,0,0,
5,167,0,0,
0,0,2,110,
0,0,12,464,
3,131,0,0,
11,443,0,0,
0,0,20,1120,
0,0,21,961,
18,976,0,0,
17,743,0,0,
0,0,48,4020,
0,0,88,6242,
44,4848,0,0,
97,6525,0,0,
0,0,49,8451,
0,0,189,19277,
67,11397,0,0,
194,18424,0,0,
0,0,78,14542,
0,0,256,32580,
86,21276,0,0,
287,34461,0,0,
0,0,64,21478,
0,0,329,60709,
27,16117,0,0,
393,66721,0,0,
0,0,67,34009,
0,0,346,69108,
29,31275,0,0,
415,77683,0,0,
0,0,19,20889,
0,0,412,100578,
10,10470,0,0,
457,122073,0,0,
0,0,4,176,
0,0,2,56,
2,76,0,0,
4,146,0,0,
0,0,7,341,
0,0,3,111,
1,55,0,0,
9,387,0,0,
0,0,26,1434,
0,0,10,502,
18,1038,0,0,
20,980,0,0,
0,0,76,7720,
0,0,88,6870,
65,6057,0,0,
88,6916,0,0,
0,0,115,19647,
0,0,165,15639,
81,14587,0,0,
184,17126,0,0,
0,0,145,27585,
0,0,262,35890,
60,19224,0,0,
320,39364,0,0,
0,0,133,33537,
0,0,323,59871,
13,10643,0,0,
407,74773,0,0,
