sent,received,latency
12:53:07:224,12:53:07:232,8
12:53:11:221,12:53:11:223,2
12:53:15:224,12:53:15:226,2
12:53:19:221,12:53:19:223,2
12:53:23:221,12:53:23:225,4
12:53:27:221,12:53:27:225,4
12:53:31:222,12:53:31:225,3
12:53:35:221,12:53:35:223,2
12:53:08:222,12:53:08:223,1
12:53:12:220,12:53:12:221,1
12:53:16:220,12:53:16:223,3
12:53:20:220,12:53:20:224,4
12:53:24:221,12:53:24:221,0
12:53:28:220,12:53:28:222,2
12:53:32:220,12:53:32:222,2
12:53:36:220,12:53:36:221,1
12:53:09:251,12:53:09:257,6
12:53:13:250,12:53:13:253,3
12:53:17:251,12:53:17:253,2
12:53:21:250,12:53:21:252,2
12:53:25:250,12:53:25:252,2
12:53:29:251,12:53:29:252,1
12:53:33:251,12:53:33:253,2
12:53:37:251,12:53:37:253,2
12:53:10:227,12:53:10:233,6
12:53:14:224,12:53:14:226,2
12:53:18:225,12:53:18:226,1
12:53:22:224,12:53:22:226,2
12:53:26:225,12:53:26:227,2
12:53:30:224,12:53:30:227,3
12:53:34:225,12:53:34:226,1
12:53:38:224,12:53:38:226,2
12:53:11:222,12:53:11:224,2
12:53:15:219,12:53:15:223,4
12:53:19:220,12:53:19:224,4
12:53:23:220,12:53:23:222,2
12:53:27:220,12:53:27:222,2
12:53:31:220,12:53:31:222,2
12:53:35:220,12:53:35:222,2
12:53:39:220,12:53:39:223,3
12:53:12:232,12:53:12:234,2
12:53:16:225,12:53:16:227,2
12:53:20:226,12:53:20:227,1
12:53:24:226,12:53:24:228,2
12:53:28:226,12:53:28:227,1
12:53:32:226,12:53:32:227,1
12:53:36:226,12:53:36:227,1
12:53:40:226,12:53:40:227,1
12:53:13:277,12:53:13:279,2
12:53:17:275,12:53:17:278,3
12:53:21:275,12:53:21:277,2
12:53:25:275,12:53:25:276,1
12:53:29:275,12:53:29:276,1
12:53:33:276,12:53:33:736,460
12:53:37:276,12:53:37:277,1
12:53:41:276,12:53:41:278,2
12:53:14:231,12:53:14:245,14
12:53:18:224,12:53:18:226,2
12:53:22:224,12:53:22:226,2
12:53:26:224,12:53:26:225,1
12:53:30:225,12:53:30:226,1
12:53:34:224,12:53:34:225,1
12:53:38:224,12:53:38:229,5
12:53:42:224,12:53:42:226,2
12:53:15:231,12:53:15:238,7
12:53:19:227,12:53:19:228,1
12:53:23:227,12:53:23:228,1
12:53:27:227,12:53:27:229,2
12:53:31:228,12:53:31:229,1
12:53:35:228,12:53:35:230,2
12:53:39:228,12:53:39:230,2
12:53:43:228,12:53:43:229,1
12:53:16:262,12:53:16:262,0
12:53:20:259,12:53:20:260,1
12:53:24:259,12:53:24:259,0
12:53:28:259,12:53:28:260,1
12:53:32:260,12:53:32:260,0
12:53:36:259,12:53:36:259,0
12:53:40:259,12:53:40:260,1
12:53:44:260,12:53:44:260,0
