neighbours,upConnections,pendingConnections,pendingMsgs,sample,totalEvents,messagesIn,messagesFailed,messagesSent,timers,notifications,requests,replies,customChannelEvents
2,3,5,4,1,28,10,0,0,4,0,0,0,14,
7,9,1,0,4,60,14,0,0,8,0,0,0,38,
6,9,1,0,4,88,18,0,0,12,0,0,0,58,
7,9,1,0,4,123,25,0,0,17,0,0,0,81,
7,9,1,0,4,151,29,0,0,21,0,0,0,101,
7,9,1,0,4,189,34,0,0,25,0,0,0,130,
7,9,1,0,4,233,42,0,0,30,0,0,0,161,
6,9,1,0,4,269,46,0,0,34,0,0,0,189,
6,6,0,0,4,26,4,0,0,4,0,0,0,18,
7,8,0,0,4,59,10,0,0,8,0,0,0,41,
7,9,0,0,4,95,16,0,0,12,0,0,0,67,
7,9,0,0,4,130,22,0,0,17,0,0,0,91,
7,9,0,0,4,154,25,0,0,21,0,0,0,108,
7,9,0,0,4,197,32,0,0,25,0,0,0,140,
7,9,0,0,4,226,36,0,0,30,0,0,0,160,
8,9,0,0,4,263,40,0,0,34,0,0,0,189,
5,5,0,0,4,30,8,0,0,4,0,0,0,18,
7,9,0,0,4,62,14,0,0,8,0,0,0,40,
8,9,0,0,4,103,20,0,0,12,0,0,0,71,
8,9,0,0,4,141,26,0,0,17,0,0,0,98,
6,9,0,0,4,177,32,0,0,21,0,0,0,124,
7,9,0,0,4,221,39,0,0,25,0,0,0,157,
7,9,0,0,4,256,45,0,0,30,0,0,0,181,
8,9,0,0,4,287,49,0,0,34,0,0,0,204,
6,6,0,0,4,30,6,0,0,4,0,0,0,20,
8,9,0,0,4,52,10,0,0,8,0,0,0,34,
7,9,0,0,4,85,15,0,0,12,0,0,0,58,
7,9,0,0,4,121,22,2,0,17,0,0,0,80,
7,9,0,0,4,157,28,2,0,21,0,0,0,106,
7,9,0,0,4,198,35,2,0,25,0,0,0,136,
8,9,0,0,4,237,42,2,0,30,0,0,0,163,
7,9,0,0,4,268,47,2,0,34,0,0,0,185,
6,6,0,0,4,31,4,0,0,4,0,0,0,23,
6,9,0,0,4,67,9,0,0,8,0,0,0,50,
7,9,0,0,4,96,13,0,0,13,0,0,0,70,
7,9,0,0,4,128,19,0,0,17,0,0,0,92,
7,9,0,0,4,167,26,0,0,21,0,0,0,120,
8,9,0,0,4,196,30,0,0,25,0,0,0,141,
7,9,0,0,4,236,37,0,0,30,0,0,0,169,
7,9,0,0,4,266,42,0,0,34,0,0,0,190,
7,7,0,0,4,28,3,0,0,4,0,0,0,21,
7,9,0,0,4,66,9,0,0,8,0,0,0,49,
5,9,0,0,4,101,16,0,0,13,0,0,0,72,
7,9,0,0,4,130,22,0,0,17,0,0,0,91,
7,9,0,0,4,157,27,0,0,21,0,0,0,109,
7,9,0,0,4,197,34,0,0,25,0,0,0,138,
8,9,0,0,4,230,40,0,0,30,0,0,0,160,
7,9,0,0,4,264,45,0,0,34,0,0,0,185,
7,7,0,0,4,27,3,0,0,4,0,0,0,20,
8,9,0,0,4,69,11,0,0,8,0,0,0,50,
7,9,0,0,4,104,19,0,0,12,0,0,0,73,
7,9,0,0,4,144,26,1,0,17,0,0,0,100,
7,9,0,0,4,182,32,1,0,21,0,0,0,128,
7,9,0,0,4,210,37,1,0,25,0,0,0,147,
6,9,0,0,4,245,45,1,0,30,0,0,0,169,
9,9,0,0,4,290,54,1,0,34,0,0,0,201,
7,7,0,0,4,28,4,0,0,4,0,0,0,20,
8,9,0,0,4,81,14,0,0,8,0,0,0,59,
8,9,0,0,4,120,21,0,0,12,0,0,0,87,
7,9,0,0,4,169,31,1,0,17,0,0,0,120,
7,9,0,0,4,224,42,1,0,21,0,0,0,160,
7,9,0,0,4,267,50,1,0,26,0,0,0,190,
8,9,1,0,4,328,63,1,0,30,0,0,0,234,
6,9,1,0,4,371,72,1,0,34,0,0,0,264,
6,6,0,0,4,25,3,0,0,4,0,0,0,18,
7,9,0,0,4,56,9,0,0,8,0,0,0,39,
7,9,0,0,4,86,13,1,0,12,0,0,0,60,
7,9,0,0,4,131,21,1,0,17,0,0,0,92,
9,9,0,0,4,175,28,2,0,21,0,0,0,124,
7,9,0,0,4,203,32,2,0,25,0,0,0,144,
7,9,0,0,4,251,41,2,0,30,0,0,0,178,
8,9,0,0,4,278,45,2,0,34,0,0,0,197,
