msg,delivered,latency
1,10,8
2,10,2
3,10,2
4,10,2
5,10,4
6,10,4
7,10,3
8,10,2
9,10,1
10,10,1
11,10,3
12,10,4
13,10,0
14,10,2
15,10,2
16,10,1
17,10,6
18,10,3
19,10,2
20,10,2
21,10,2
22,10,1
23,10,2
24,10,2
25,10,6
26,10,2
27,10,1
28,10,2
29,10,2
30,10,3
31,10,1
32,10,2
33,10,2
34,10,4
35,10,4
36,10,2
37,10,2
38,10,2
39,10,2
40,10,3
41,10,2
42,10,2
43,10,1
44,10,2
45,10,1
46,10,1
47,10,1
48,10,1
49,10,2
50,10,3
51,10,2
52,10,1
53,10,1
54,10,460
55,10,1
56,10,2
57,10,14
58,10,2
59,10,2
60,10,1
61,10,1
62,10,1
63,10,5
64,10,2
65,10,7
66,10,1
67,10,1
68,10,2
69,10,1
70,10,2
71,10,2
72,10,1
73,10,0
74,10,1
75,10,0
76,10,1
77,10,0
78,10,0
79,10,1
80,10,0
