sent,received
23:29:16,23:29:16
23:29:20,23:29:20
23:29:24,23:29:24
23:29:28,23:29:28
23:29:32,23:29:32
23:29:36,23:29:36
23:29:40,23:29:40
23:29:44,23:29:45
23:29:17,23:29:17
23:29:21,23:29:21
23:29:25,23:29:25
23:29:29,23:29:30
23:29:33,23:29:33
23:29:37,23:29:37
23:29:41,23:29:42
23:29:45,23:29:45
23:29:18,23:29:19
23:29:22,23:29:22
23:29:26,23:29:26
23:29:30,23:29:30
23:29:34,23:29:34
23:29:38,23:29:39
23:29:42,23:29:42
23:29:46,23:29:47
23:29:19,23:29:19
23:29:23,23:29:23
23:29:27,23:29:27
23:29:31,23:29:31
23:29:35,23:29:35
23:29:39,23:29:40
23:29:43,23:29:43
23:29:47,23:29:47
23:29:20,23:29:20
23:29:24,23:29:24
23:29:28,23:29:28
23:29:32,23:29:32
23:29:36,23:29:36
23:29:40,23:29:40
23:29:44,23:29:45
23:29:48,23:29:48
23:29:21,23:29:22
23:29:25,23:29:26
23:29:29,23:29:29
23:29:33,23:29:33
23:29:37,23:29:37
23:29:41,23:29:41
23:29:45,23:29:46
23:29:49,23:29:49
23:29:22,23:29:23
23:29:26,23:29:26
23:29:30,23:29:30
23:29:34,23:29:34
23:29:38,23:29:39
23:29:42,23:29:42
23:29:46,23:29:47
23:29:50,23:29:50
23:29:23,23:29:23
23:29:27,23:29:27
23:29:31,23:29:31
23:29:35,23:29:35
23:29:39,23:29:39
23:29:43,23:29:43
23:29:47,23:29:47
23:29:51,23:29:51
23:29:24,23:29:24
23:29:28,23:29:28
23:29:32,23:29:33
23:29:36,23:29:36
23:29:40,23:29:40
23:29:44,23:29:44
23:29:48,23:29:48
23:29:52,23:29:52
23:29:25,23:29:25
23:29:29,23:29:29
23:29:33,23:29:33
23:29:37,23:29:37
23:29:41,23:29:41
23:29:45,23:29:45
23:29:49,23:29:49
23:29:53,23:29:53
