neighbours,upConnections,pendingConnections,pendingMsgs,sample,totalEvents,messagesIn,messagesFailed,messagesSent,timers,notifications,requests,replies,customChannelEvents
3,4,4,3,1,27,10,0,0,4,0,0,0,13,
6,7,1,0,4,53,13,0,0,8,0,0,0,32,
6,9,1,0,4,97,19,2,0,13,0,0,0,63,
6,9,1,0,4,156,26,27,0,17,0,0,0,86,
7,9,1,0,4,204,30,47,0,21,0,0,0,106,
6,9,1,0,4,229,33,48,0,26,0,0,0,122,
6,9,1,0,4,266,38,55,0,30,0,0,0,143,
6,6,0,0,4,33,7,0,0,4,0,0,0,22,
7,9,0,0,4,76,16,0,0,8,0,0,0,52,
6,9,0,0,4,108,21,1,0,12,0,0,0,74,
7,9,0,0,4,171,27,29,0,17,0,0,0,98,
7,9,0,0,4,208,33,31,0,21,0,0,0,123,
7,9,0,0,4,284,37,82,0,25,0,0,0,140,
7,9,0,0,4,324,43,85,0,30,0,0,0,166,
4,4,0,0,4,25,5,0,0,4,0,0,0,16,
7,9,0,0,4,60,10,0,0,8,0,0,0,42,
7,9,0,0,4,113,18,6,0,12,0,0,0,77,
8,9,0,0,4,184,24,42,0,17,0,0,0,101,
6,9,0,0,4,258,28,85,0,21,0,0,0,124,
8,9,0,0,4,333,36,116,0,25,0,0,0,156,
7,9,0,0,4,372,41,122,0,30,0,0,0,179,
4,6,3,2,4,27,5,0,0,4,0,0,0,18,
7,8,2,1,4,62,10,0,0,8,0,0,0,44,
6,9,1,0,4,90,14,0,0,13,0,0,0,63,
7,9,1,0,4,140,21,12,0,17,0,0,0,90,
6,9,1,0,4,198,26,41,0,21,0,0,0,110,
5,9,1,0,4,225,30,41,0,26,0,0,0,128,
7,9,1,0,4,267,39,41,0,30,0,0,0,157,
7,7,0,0,4,28,4,0,0,4,0,0,0,20,
7,9,0,0,4,63,11,0,0,8,0,0,0,44,
8,9,0,0,4,104,17,3,0,12,0,0,0,72,
5,9,2,0,4,215,23,76,0,17,0,0,0,99,
6,9,0,0,4,300,28,125,0,21,0,0,0,126,
8,9,0,0,4,387,32,186,0,25,0,0,0,144,
7,9,0,0,4,421,38,187,0,30,0,0,0,166,
7,7,0,0,4,23,3,0,0,4,0,0,0,16,
7,9,0,0,4,60,10,0,0,8,0,0,0,42,
6,9,0,0,4,101,15,10,0,12,0,0,0,64,
8,9,0,0,4,209,23,83,0,17,0,0,0,86,
8,9,0,0,4,263,29,108,0,21,0,0,0,105,
7,9,0,0,4,328,37,129,0,25,0,0,0,137,
6,9,0,0,4,363,43,129,0,30,0,0,0,161,
6,6,0,0,4,24,3,0,0,4,0,0,0,17,
9,9,0,0,4,73,11,0,0,8,0,0,0,54,
8,9,0,0,4,112,18,2,0,12,0,0,0,80,
7,9,0,0,4,165,23,27,0,17,0,0,0,98,
7,9,0,0,4,254,33,66,0,21,0,0,0,134,
7,9,0,0,4,336,40,106,0,25,0,0,0,165,
7,7,0,0,4,389,50,106,0,30,0,0,0,203,
8,8,0,0,4,30,4,0,0,4,0,0,0,22,
6,9,1,0,4,59,9,0,0,8,0,0,0,42,
7,9,1,0,4,106,18,0,0,12,0,0,0,76,
7,9,1,0,4,180,29,25,0,17,0,0,0,109,
6,9,1,0,4,225,36,33,0,21,0,0,0,135,
6,9,1,0,4,286,46,51,0,25,0,0,0,164,
6,7,0,0,4,339,55,51,0,30,0,0,0,203,
7,9,0,0,4,33,5,0,0,4,0,0,0,24,
7,9,0,0,4,69,10,0,0,8,0,0,0,51,
6,9,0,0,4,121,16,16,0,13,0,0,0,76,
8,9,0,0,4,182,26,31,0,17,0,0,0,108,
8,9,0,0,4,223,33,36,0,21,0,0,0,133,
5,9,0,0,4,271,40,49,0,26,0,0,0,156,
6,7,0,0,4,304,45,49,0,30,0,0,0,180,
